Day,Date,Team 1,Team 2,Score 1,Score 2,Tournament,Location,Rating Change 1,Rating Change 2,Rating 1,Rating 2,Rank Change 1,Rank Change 2,Rank 1,Rank 2
Thursday,July 9,France,Morocco,2,0,World Cup,in the United States,+20,−20,2163,1901,+1,−2,2,14
Tuesday,July 7,Argentina,Egypt,3,2,World Cup,in the United States,+5,−5,2156,1742,0,−3,2,34
Tuesday,July 7,Colombia,Switzerland,0,0,World Cup,in Canada,−6,+6,2003,1949,0,0,5,11
Monday,July 6,Spain,Portugal,1,0,World Cup,in the United States,+18,−18,2177,1995,0,−1,1,6
Monday,July 6,United States,Belgium,1,4,World Cup,in the United States,−51,+51,1747,1961,−6,+3,31,10
Sunday,July 5,Mexico,England,2,3,World Cup,in Mexico,−30,+30,1913,2076,−3,0,12,4
Sunday,July 5,Norway,Brazil,2,1,World Cup,in the United States,+38,−38,1972,1993,+3,−2,8,7
Saturday,July 4,France,Paraguay,1,0,World Cup,in the United States,+9,−9,2143,1814,0,−2,3,24
Saturday,July 4,Morocco,Canada,3,0,World Cup,in the United States,+35,−35,1921,1729,+3,−8,12,38
Friday,July 3,Argentina,Cape Verde,3,2,World Cup,in the United States,+3,−3,2151,1619,0,−1,2,59
Friday,July 3,Australia,Egypt,1,1,World Cup,in the United States,−5,+5,1795,1747,−1,+2,26,33
Friday,July 3,Colombia,Ghana,1,0,World Cup,in the United States,+5,−5,2009,1570,0,0,7,68
Thursday,July 2,Portugal,Croatia,2,1,World Cup,in Canada,+23,−23,2013,1881,+1,−2,6,16
Thursday,July 2,Spain,Austria,3,0,World Cup,in the United States,+15,−15,2159,1821,+1,−1,1,23
Thursday,July 2,Switzerland,Algeria,2,0,World Cup,in Canada,+29,−29,1943,1756,+2,−5,9,32
Wednesday,July 1,Belgium,Senegal,3,2,World Cup,in the United States,+26,−26,1910,1816,+4,−3,12,24
Wednesday,July 1,England,DR Congo,2,1,World Cup,in the United States,+8,−8,2046,1704,0,−2,4,45
Wednesday,July 1,United States,Bosnia and Herzegovina,2,0,World Cup,in the United States,+17,−17,1798,1605,+1,−5,26,63
Tuesday,June 30,France,Sweden,3,0,World Cup,in the United States,+11,−11,2134,1731,0,−2,3,38
Tuesday,June 30,Mexico,Ecuador,2,0,World Cup,in Mexico,+31,−31,1943,1871,+2,−3,9,17
Tuesday,June 30,Norway,Ivory Coast,2,1,World Cup,in the United States,+16,−16,1934,1727,−1,−4,10,39
Monday,June 29,Brazil,Japan,2,1,World Cup,in the United States,+22,−22,2031,1888,0,−2,5,15
Monday,June 29,Germany,Paraguay,1,1,World Cup,in the United States,−9,+9,1907,1823,−2,0,12,24
Monday,June 29,Morocco,Netherlands,1,1,World Cup,in Mexico,+9,−9,1886,1971,+1,0,16,8
Sunday,June 28,Canada,South Africa,1,0,World Cup,in the United States,+16,−16,1764,1560,+1,−5,31,73
Saturday,June 27,Algeria,Austria,3,3,World Cup,in the United States,+5,−5,1785,1836,+1,−1,26,23
